Epoch time,Latitude,Longitude,Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps)
1682727185.3276162,0,0,45.8,1.0,0.4,0.0
1682727191.2952652,0,0,37.6,0.2,0.2,0.0
1682727197.248828,0,0,43.6,1.4,0.2,0.0
1682727203.2245119,0,0,40.6,1.2,0.4,0.0
1682727209.1978328,0,0,42.8,0.8,0.6,0.0
1682727215.2013896,0,0,39.4,1.2,0.2,0.0
1682727221.2318406,0,0,44.0,1.2,0.2,0.0
1682727227.6525908,0,0,43.2,1.6,0.6,0.0
1682727233.7578256,0,0,41.4,1.0,0.0,0.2
1682727239.8888538,0,0,38.2,1.0,0.6,0.0
1682727246.0142474,0,0,42.8,1.2,0.2,0.0
1682727252.4741435,0,0,42.8,1.6,0.4,0.0
1682727258.5494273,0,0,42.4,1.8,0.2,0.0
1682727264.6401746,0,0,45.2,1.4,0.2,0.0
1682727270.720418,0,0,41.4,0.8,0.4,0.0
1682727276.8261685,0,0,40.0,1.0,0.2,0.0
1682727283.0358648,0,0,42.8,0.8,0.2,0.0
1682727289.433523,0,0,41.4,1.2,0.6,0.0
1682727295.6844354,0,0,40.4,1.0,0.6,0.0
1682727301.871779,0,0,41.4,1.2,0.4,0.2
1682727308.022061,0,0,46.6,1.2,0.6,0.0
1682727314.2007282,0,0,39.4,1.4,0.4,0.0
1682727320.3846204,0,0,42.8,1.8,0.4,0.2
1682727326.5895104,0,0,37.2,0.8,0.4,0.0
1682727332.9002867,0,0,40.6,0.8,0.0,0.0
1682727339.1555278,0,0,44.2,2.0,0.4,0.0
1682727345.5099452,0,0,41.8,1.2,0.0,0.0
1682727351.9950912,0,0,43.0,1.4,0.2,0.0
1682727358.2489848,0,0,39.4,1.8,0.0,0.0
1682727364.5120282,0,0,40.2,0.6,0.0,0.0
1682727370.796532,0,0,43.4,0.8,0.8,0.0
1682727377.173951,0,0,39.0,1.2,0.4,0.2
1682727383.5469296,0,0,42.2,1.6,0.4,0.0
1682727389.9564605,0,0,46.4,0.6,0.6,0.0
1682727396.2982936,0,0,42.2,1.4,0.4,0.0
1682727402.8364203,0,0,42.6,1.0,0.6,0.0
1682727409.2723126,0,0,39.6,1.6,0.6,0.2
1682727415.6990135,0,0,40.8,0.4,0.0,0.0
1682727422.112083,0,0,43.4,0.4,0.4,0.0
1682727428.6038787,0,0,35.6,0.6,0.0,0.0
1682727435.0370333,0,0,45.2,1.0,0.4,0.0
1682727441.4311588,0,0,39.0,1.6,0.8,0.0
1682727447.8360467,0,0,40.4,2.0,0.0,0.0
1682727454.4906197,0,0,43.2,1.2,0.2,0.0
1682727460.97135,0,0,43.6,1.2,0.0,0.0
1682727467.501497,0,0,42.8,0.4,0.4,0.0
1682727474.016491,0,0,43.6,1.4,0.4,0.0
1682727480.470972,0,0,42.2,1.0,0.6,0.0
1682727486.949955,0,0,37.0,1.6,0.6,0.0
1682727493.4111378,0,0,42.6,1.2,0.4,0.0
1682727500.1918044,0,0,42.0,1.6,0.4,0.0
1682727506.7940607,0,0,47.6,2.0,0.0,0.0
1682727513.2940805,0,0,45.2,1.4,0.8,0.2
1682727519.8161323,0,0,42.4,1.8,0.4,0.0
1682727526.339718,0,0,35.8,1.4,1.2,0.0
1682727532.9681528,0,0,37.8,0.6,0.2,0.0
1682727539.6056204,0,0,44.0,0.2,0.0,0.0
1682727546.454445,0,0,40.8,1.0,0.4,0.0
1682727553.026031,0,0,41.4,2.2,0.6,0.0
1682727559.6139212,0,0,43.2,0.4,0.4,0.0
1682727566.297786,0,0,42.0,0.6,0.0,0.0
1682727572.982266,0,0,45.4,1.8,0.2,0.0
1682727579.654896,0,0,42.6,1.0,0.6,0.0
1682727586.277009,0,0,42.2,2.0,0.2,0.2
1682727593.125242,0,0,41.4,0.4,0.4,0.2
1682727599.8592708,0,0,41.6,1.2,0.2,0.2
1682727606.6517005,0,0,45.2,1.4,0.4,0.0
1682727613.3204908,0,0,37.0,1.0,0.0,0.0
1682727620.0205333,0,0,43.4,1.2,0.4,0.2
1682727626.7247522,0,0,46.8,1.8,0.4,0.0
1682727633.766525,0,0,43.8,1.4,0.2,0.0
1682727640.5872462,0,0,42.8,1.0,0.6,0.2
1682727647.3369083,0,0,39.8,1.2,0.2,0.0
1682727654.0768592,0,0,43.6,1.0,0.6,0.0
1682727660.902743,0,0,42.6,2.6,0.4,0.0
1682727667.7621455,0,0,37.6,0.0,0.2,0.0
1682727674.7382128,0,0,37.8,0.8,0.2,0.0
1682727681.5317767,0,0,40.6,1.8,0.4,0.0
1682727688.725923,0,0,42.2,1.4,0.4,0.2
1682727695.66107,0,0,42.0,2.2,0.2,0.0
1682727702.4607205,0,0,42.2,0.8,0.4,0.0
1682727709.2569368,0,0,43.0,1.2,1.2,0.0
1682727716.3850596,0,0,38.4,1.2,0.4,0.2
1682727723.350188,0,0,43.0,1.0,0.2,0.0
1682727730.2229526,0,0,45.8,1.2,0.2,0.0
1682727737.2141347,0,0,38.6,1.0,0.8,0.0
1682727744.108747,0,0,46.8,1.4,0.4,0.0
1682727751.296576,0,0,43.0,1.2,0.2,0.0
1682727758.296951,0,0,42.8,1.0,0.4,0.0
1682727765.2255592,0,0,45.0,0.8,0.2,0.0
1682727772.3343253,0,0,39.8,1.0,0.8,0.0
1682727779.479353,0,0,39.2,0.8,0.2,0.0
1682727786.4511216,0,0,40.4,1.2,0.4,0.0
1682727793.6334844,0,0,35.8,0.8,0.0,0.0
1682727800.7365882,0,0,37.8,0.6,0.2,0.0
1682727807.7006493,0,0,42.8,1.0,1.0,0.0
1682727814.6826184,0,0,37.6,1.0,0.4,0.0
1682727821.7545397,0,0,42.2,1.4,0.0,0.0
1682727829.0597117,0,0,50.8,1.2,0.4,0.0
1682727836.086805,0,0,48.4,1.2,0.2,0.0
1682727843.1189635,0,0,37.6,1.6,0.2,0.0
1682727850.2695017,0,0,35.2,1.2,0.4,0.0
1682727857.3849823,0,0,42.2,1.0,0.6,0.0
1682727864.653369,0,0,42.4,1.4,0.4,0.0
1682727871.8003814,0,0,48.4,1.2,0.6,0.2
1682727878.9848826,0,0,45.6,1.0,0.0,0.2
1682727886.0535429,0,0,38.8,0.4,0.6,0.0
1682727893.319876,0,0,40.2,0.8,0.4,0.0
1682727900.7352738,0,0,42.8,1.8,0.0,0.2
1682727907.9715555,0,0,39.8,1.0,0.2,0.0
1682727915.0978274,0,0,45.6,1.6,1.0,0.0
1682727922.3136752,0,0,38.2,1.2,0.0,0.0
1682727929.8208332,0,0,43.6,1.0,0.2,0.0
1682727937.0420678,0,0,42.6,1.6,0.2,0.0
1682727944.2707126,0,0,39.2,0.6,0.0,0.0
1682727951.590078,0,0,44.8,1.6,0.6,0.2
1682727958.9072535,0,0,41.0,0.6,0.4,0.0
1682727966.442118,0,0,42.4,1.0,0.6,0.0
1682727973.7620769,0,0,44.4,0.6,0.4,0.0
1682727980.9925654,0,0,39.6,1.6,0.4,0.0
1682727988.2923963,0,0,36.0,0.8,0.2,0.0
1682727995.8577788,0,0,38.2,1.6,0.2,0.2
1682728003.2239199,0,0,41.8,0.6,0.4,0.0
1682728010.5367393,0,0,37.4,1.0,0.0,0.0
1682728017.9168243,0,0,44.8,0.6,0.4,0.0
1682728025.3074849,0,0,45.4,1.4,0.0,0.4
1682728032.8938923,0,0,49.8,1.4,0.4,0.0
1682728040.3261418,0,0,40.2,1.0,0.4,0.0
1682728047.695408,0,0,43.0,1.4,0.2,0.0
1682728055.0715933,0,0,44.8,0.0,0.2,0.0
1682728062.786817,0,0,42.2,0.6,0.0,0.0
1682728070.1484523,0,0,39.6,2.0,1.0,0.0
1682728077.7134056,0,0,46.2,2.2,0.8,0.0
1682728085.1723766,0,0,44.0,0.8,0.4,0.0
1682728092.7777944,0,0,40.2,1.6,0.4,0.0
1682728100.339852,0,0,42.6,0.8,0.4,0.2
1682728107.7732015,0,0,37.8,1.4,0.2,0.2
1682728115.2420602,0,0,44.2,0.6,1.0,0.0
1682728123.0017924,0,0,40.8,0.6,0.2,0.0
1682728130.5482225,0,0,39.4,1.6,0.4,0.2
1682728138.042602,0,0,41.2,1.2,1.0,0.0
1682728145.6446023,0,0,39.2,0.6,0.4,0.0
1682728153.3295956,0,0,43.8,0.8,0.2,0.2
1682728160.9817872,0,0,43.2,0.4,0.6,0.2
1682728168.591721,0,0,40.8,1.8,0.4,0.0
1682728176.1548154,0,0,43.0,1.4,0.4,0.0
1682728184.0293012,0,0,43.0,1.2,0.2,0.0
1682728191.6930742,0,0,44.0,0.8,1.0,0.0
