time,Concentration Units (Standard) PM 1.0,Concentration Units (Standard) PM 2.5,Concentration Units (Standard) PM 10.0,temperature,gas,pressure,humidity,altitude,
1677279752,1,1,1,16.187421875,53608,996.6404782972567,34.28607695139209,139.2125277392834,
1677279753,1,2,2,16.1501171875,53953,996.9707313872393,34.46658197082824,136.4262741413106,
1677279754,1,2,2,16.103828125,54338,996.8798810577941,34.72462594341149,137.19267861514166,
1677279756,1,2,2,16.0298046875,54693,996.7866973749465,34.7850628050468,137.97882578355623,
1677279757,1,2,2,15.9567578125,55052,996.7391208108328,35.08038017874583,138.38022996012836,
1677279758,1,2,2,15.8925,55674,996.7062123955661,35.24816008522308,138.65788782417923,
1677279759,1,2,2,15.832734375,56010,996.6689582632924,35.259615444849445,138.97222072376454,
1677279760,2,2,2,15.7387890625,56122,996.6354739023263,35.24002098133257,139.25475417894967,
1677279761,2,2,2,15.6434765625,56235,996.6148926494153,35.23151420423294,139.4284179443248,
1677279763,2,2,2,15.53859375,57078,996.5850497895127,35.22216458220046,139.68023592657104,
1677279764,1,2,2,15.414375,57313,996.5634215808535,35.36785154068141,139.86274141577195,
1677279765,1,2,2,15.28859375,57747,996.5357439700961,35.46306185164202,140.09629830212936,
1677279766,1,2,2,15.1610546875,58392,996.511827964704,35.51891611289359,140.2981171976369,
1677279767,1,2,2,15.028828125,59009,996.4935277285846,35.66408561814505,140.45254920773223,
1677279769,1,2,2,14.8915234375,59428,996.4666697805019,35.69667148812216,140.6792021853257,
1677279770,1,2,2,14.74796875,59852,996.4681224591117,35.99258958333102,140.66694297141217,
1677279771,2,3,3,14.6368359375,60110,996.4713736809853,36.18499811333515,140.63950583012297,
1677279772,2,3,3,14.5579296875,60413,996.6888055211745,36.296056617937715,138.80475768411893,
1677279773,2,3,3,14.46984375,60588,996.6393512228746,36.344397135655974,139.22203783272946,
1677279775,1,3,3,14.38390625,60897,996.5749099713788,36.066652022090004,139.76579843714913,
1677279776,1,3,3,14.2841015625,61119,996.512562885984,36.113894605330614,140.29191539280313,
1677279777,1,3,3,14.1821484375,61030,996.473586641032,36.1609543871154,140.6208306473706,
1677279778,1,2,2,14.0825390625,61568,996.4401854189412,36.40515363830335,140.9027073273979,
1677279779,1,2,2,13.988203125,61750,996.4408693451402,36.76298917112281,140.89693552035143,
1677279781,1,2,2,13.9247265625,62024,997.0765617887587,37.549232253878635,135.5335705488382,
1677279782,1,2,3,13.8708203125,62162,996.9525833390679,37.215670836441596,136.57936477681758,
1677279783,1,2,3,13.8253125,61932,996.8696482319532,37.44935680420204,137.27900527454753,
1677279784,0,1,2,13.790546875,62116,997.5296015562897,37.9570787385768,131.71294366554014,
1677279785,0,1,2,13.75578125,62674,997.2606405809171,37.78904114635365,133.98100668453023,
1677279786,0,1,2,13.7333203125,62768,997.1336790251672,38.02000861676786,135.051805499384,
1677279788,1,2,3,13.724140625,63004,996.9986246927309,38.18990180677112,136.19098029665156,
1677279789,1,2,2,13.7159375,63338,996.8550960207972,38.308771943412644,137.4017725766359,
1677279790,1,2,2,13.7118359375,63434,997.5140448769947,38.63358723501778,131.84411473971605,
1677279791,1,2,2,13.71984375,63675,997.2543872391864,38.594366537815866,134.03374503305997,
